order1 & order2 & order3 & index & presentation length & virtually torsion-free & Kazhdan & abelianization dimension & L2-quotients & quotients & alternating quotients & maximal order for alternating quotients
14 & 14 & 40 & 0 & 37 & Yes & No & 0& [L_2(7^2)]& [($\textrm{Alt}_{7}$, 1), ($\textrm{J}_{1}$, 2), (${}^2A_{3}(9)$, 1)] & [ 7  ] & 30
14 & 14 & 40 & 4 & 37 & Yes & ? & 0& []& [($\textrm{Alt}_{7}$, 2), ($\textrm{M}_{22}$, 1)] & [ 7, 28  ] & 30
14 & 14 & 48 & 0 & 29 & ? & No & 1& [L_2(7)]& [($\textrm{Alt}_{7}$, 1), (${}^2A_{2}(25)$, 1)] & [ 3, 7  ] & 30
14 & 14 & 48 & 1 & 29 & ? & No & 1& [L_2(7)]& [($\textrm{Alt}_{8}$ or $A_{2}(4)$, 1)] & [ 3, 8  ] & 30
14 & 14 & 48 & 4 & 29 & ? & ? & 1& []& [($\textrm{Alt}_{7}$, 1)] & [ 3, 7  ] & 30
14 & 14 & 48 & 5 & 29 & ? & No & 1& []& [($\textrm{Alt}_{8}$ or $A_{2}(4)$, 1), ($\textrm{M}_{22}$, 1)] & [ 3, 8, 21  ] & 30
14 & 14 & 54 & 0 & 41 & ? & ? & 1& []& [(${}^2A_{2}(9)$, 1)] & [ 3  ] & 30
14 & 14 & 54 & 4 & 41 & ? & ? & 1& []& [] & [ 3  ] & 30
14 & 16 & 40 & 0 & 37 & ? & ? & 0& [L_2(7^2)]& [] & [  ] & 30
14 & 16 & 48 & 0 & 29 & ? & ? & 1& []& [] & [ 3, 4  ] & 30
14 & 16 & 48 & 1 & 29 & ? & No & 1& [L_2(7)]& [] & [ 3  ] & 30
14 & 16 & 54 & 0 & 41 & ? & ? & 1& []& [] & [ 3  ] & 30
14 & 16 & 54 & 2 & 41 & ? & ? & 1& []& [] & [ 3  ] & 30
14 & 18 & 40 & 0 & 43 & Yes & ? & 0& []& [($\textrm{J}_{2}$, 1)] & [ 21, 25  ] & 30
