order1 & order2 & order3 & index & presentation length & hyperbolic & witnesses for non-hyperbolicity & virtually torsion-free & Kazhdan & abelianization dimension & L2-quotients & quotients & alternating quotients & maximal order for alternating quotients
14 & 14 & 14 & 0 & 27  & ? &  & Yes & Yes & 0& [L_2(7)]& [(${}^2A_{2}(9)$, 1), (${}^2A_{2}(25)$, 1)] & [  ] & 36
14 & 14 & 14 & 1 & 27 & No & c^-1 * a * b^-1 * a * c * a * b^-1 * a, a^-1 * b * c * a * b^-1 * a * c^-1 * b & ? & Yes & 1& []& [] & [ 3  ] & 36
14 & 14 & 14 & 2 & 27 & No & c^-1 * a * b^-1 * a, a^-1 * b * c^-1 * b & Yes & Yes & 0& []& [($\textrm{Alt}_{7}$, 1)] & [ 7  ] & 36
14 & 14 & 14 & 6 & 27 & No & c * a * b * a, b^-1 * a^-1 * c * a & Yes & Yes & 1& []& [($A_{2}(8)$, 2)] & [ 3  ] & 36
14 & 14 & 16 & 0 & 27 & No & c * a * b * a, a^-1 * b^-1 * c^-1 * b & Yes & No & 1& [L_2(7)]& [($\textrm{Alt}_{8}$ or $A_{2}(4)$, 1)] & [ 3, 8  ] & 36
14 & 14 & 16 & 1 & 27 & No & c * a * b * a * c^-1 * a^-1 * b^-1 * a^-1, b^-1 * a * c * a^-1 * b^-1 * a * c * a^-1 & ? & ? & 0& [L_2(7)]& [] & [  ] & 36
14 & 14 & 16 & 4 & 27 & No & c * a * b * a * c^-1 * a^-1 * b^-1 * a, a^-1 * b * c^-1 * a * b * a * c * b^-1 & ? & ? & 0& []& [] & [  ] & 36
14 & 14 & 16 & 5 & 27 & No & c * a * b * a * c^-1 * b * a * c^-1 * b * a^-1, b * a^-1 * c^-1 * a * b^-1 * c^-1 * a * b * c * a^-1 & ? & ? & 1& []& [] & [ 3  ] & 36
14 & 14 & 18 & 0 & 33 & No & c^-1 * a * b^-1 * a, a^-1 * b * c^-1 * b & Yes & ? & 1& []& [(${}^2A_{2}(9)$, 1)] & [ 3  ] & 36
14 & 14 & 18 & 4 & 33 & No & a^-1 * b * c * b, c * a * b^-1 * a & ? & ? & 1& []& [] & [ 3  ] & 36
14 & 14 & 24 & 0 & 35 & Yes &  & ? & ? & 1& [L_2(7)]& [] & [ 3  ] & 36
14 & 14 & 24 & 1 & 35 & No & c^-1 * a * b^-1 * a, a^-1 * b * c^-1 * b & Yes & No & 1& [L_2(7)]& [($\textrm{Alt}_{7}$, 1), (${}^2A_{2}(25)$, 1)] & [ 3, 7  ] & 36
14 & 14 & 24 & 4 & 35 & No & a^-1 * b * c * b, c * a * b^-1 * a & Yes & No & 1& []& [($\textrm{Alt}_{8}$ or $A_{2}(4)$, 1), ($\textrm{M}_{22}$, 1)] & [ 3, 8  ] & 36
14 & 14 & 24 & 5 & 35 & No & b * a^-1 * c * a^-1 * b^-1 * a * c^-1 * a, c^-1 * a * b * a^-1 * c * a^-1 * b^-1 * a & Yes & ? & 1& []& [($\textrm{Alt}_{7}$, 1)] & [ 3, 7  ] & 36
14 & 14 & 26 & 0 & 35 & Yes &  & ? & ? & 1& []& [] & [ 3  ] & 36
14 & 14 & 26 & 1 & 35 & No & c^-1 * a * b^-1 * a, a^-1 * b * c^-1 * b & Yes & ? & 0& []& [($A_{2}(9)$, 1)] & [ 14  ] & 36
14 & 14 & 26 & 3 & 35 & No & c^-1 * a * b^-1 * a, a^-1 * b * c^-1 * b & ? & ? & 0& []& [] & [  ] & 36
14 & 14 & 26 & 4 & 35 & No & a^-1 * b * c * b, c * a * b^-1 * a & ? & ? & 0& []& [] & [  ] & 36
14 & 14 & 26 & 5 & 35 & No & b * a^-1 * c * a^-1 * b^-1 * a * c^-1 * a, c^-1 * a * b * a^-1 * c * a^-1 * b^-1 * a & ? & ? & 1& []& [] & [ 3  ] & 36
14 & 14 & 26 & 7 & 35 & No & b * a^-1 * c * a^-1 * b^-1 * a * c^-1 * a, c^-1 * a * b * a^-1 * c * a^-1 * b^-1 * a & ? & ? & 1& []& [] & [ 3  ] & 36
14 & 16 & 16 & 0 & 27 & No & b^-1 * a * c * b * a^-1 * c^-1, b^-1 * c * a * b^-1 * c^-1 * a & ? & No & 0& [L_2(7)]& [] & [  ] & 36
14 & 16 & 16 & 1 & 27 & No & a^-1 * b * c * a^-1 * b * a * c^-1 * a^-1 * b^-1 * a * c^-1 * b^-1, c * a^-1 * b * a * c * a^-1 * b^-1 * a * c^-1 * a^-1 * b^-1 * a & ? & ? & 1& []& [] & [ 3, 4  ] & 36
14 & 16 & 18 & 0 & 33 & No & a * c * b^-1 * a^-1 * c * b, c^-1 * a^-1 * b^-1 * c^-1 * a * b & ? & ? & 1& []& [] & [ 3  ] & 36
14 & 16 & 24 & 0 & 35 & Yes &  & ? & No & 1& [L_2(7)]& [] & [ 3  ] & 36
14 & 16 & 24 & 1 & 35 & Yes &  & ? & ? & 1& []& [] & [ 3, 4  ] & 36
14 & 16 & 26 & 0 & 35 & Yes &  & ? & ? & 0& []& [] & [  ] & 36
14 & 16 & 26 & 1 & 35 & Yes &  & ? & No & 1& []& [] & [ 3  ] & 36
14 & 16 & 26 & 3 & 35 & Yes &  & ? & ? & 1& []& [] & [ 3  ] & 36
14 & 16 & 26 & 7 & 35 & Yes &  & ? & ? & 0& []& [] & [  ] & 36
14 & 18 & 18 & 0 & 39 & No & a^-1 * b * c * b, c * a * b^-1 * a & ? & No & 2& []& [] & [ 3  ] & 36
14 & 18 & 24 & 0 & 41 & No & a^-1 * b * c * b, c * a * b^-1 * a & ? & ? & 2& []& [] & [ 3  ] & 36
14 & 18 & 26 & 0 & 41 & No & a^-1 * b * c * b, c * a * b^-1 * a & ? & ? & 1& []& [] & [ 3  ] & 36
14 & 18 & 26 & 3 & 41 & No & c^-1 * a * b^-1 * a, a^-1 * b * c^-1 * b & ? & ? & 1& []& [] & [ 3  ] & 36
